,title,genre
59273,Vamps,"Comedy, Horror, Romance"
59296,Judy Moody and the Not Bummer Summer,"Comedy, Family"
59297,Senza freni,"Action, Thriller"
59313,Another Earth,"Drama, Romance, Sci-Fi"
59316,Elles,Drama
59318,The Last Stand - L'ultima sfida,"Action, Thriller"
59327,Winnie,"Biography, Drama, History"
59345,Per una vita migliore,"Drama, Romance"
59395,Beautiful Creatures - La sedicesima luna,"Drama, Fantasy, Romance"
59399,Zombieland - Doppio colpo,"Action, Adventure, Comedy"
59405,The Master,Drama
59413,L'altra faccia del diavolo,Horror
59423,Higher Ground,Drama
59427,Ra.One,"Action, Adventure, Sci-Fi"
59436,One Day,"Drama, Romance"
59438,Overboard,"Comedy, Romance"
59440,L'incredibile storia di Winter il delfino,"Drama, Family"
59441,Mia moglie per finta,"Comedy, Romance"
59461,Cristiada,"Drama, History, War"
59482,Loosies,"Comedy, Crime, Romance"
59483,40 carati,"Action, Adventure, Crime"
59487,Millennium - Uomini che odiano le donne,"Crime, Drama, Mystery"
59497,War Horse,"Action, Adventure, Drama"
59517,"Crazy, Stupid, Love.","Comedy, Drama, Romance"
59522,A Dangerous Method,"Biography, Drama, Romance"
59523,Macchine mortali,"Action, Adventure, Fantasy"
59536,Kinyarwanda,"Drama, History, Romance"
59608,Il dilemma,"Comedy, Drama"
59649,The Good Doctor,"Drama, Thriller"
59653,Hates - House at the End of the Street,"Drama, Horror, Thriller"
59671,L'amore all'improvviso - Larry Crowne,"Comedy, Drama, Romance"
59672,G.I. Joe - La vendetta,"Action, Adventure, Sci-Fi"
59691,Che cosa aspettarsi quando si aspetta,"Comedy, Drama, Romance"
59694,Machine Gun Preacher,"Action, Biography, Crime"
59706,Maleficent,"Action, Adventure, Family"
59724,Warm Bodies,"Comedy, Horror, Romance"
59725,A casa con Jeff,"Comedy, Drama"
59732,Sleeping Beauty,"Drama, Romance, Thriller"
59754,L'uomo sul treno,"Action, Mystery, Thriller"
59765,Act of Valor,"Action, Adventure, Thriller"
59779,Lockout,"Action, Sci-Fi, Thriller"
59794,The Innkeepers,"Drama, Horror, Mystery"
59798,Il viaggio di Norm,"Animation, Adventure, Comedy"
59809,Fast & Furious 5,"Action, Adventure, Crime"
59810,La grande partita,"Biography, Drama, Sport"
59811,Soul Surfer,"Biography, Drama, Family"
59812,Una spia non basta,"Action, Comedy, Romance"
59814,La grande scommessa,"Biography, Comedy, Drama"
59815,The Woman in Black,"Drama, Fantasy, Horror"
59830,Sopravvissuti,"Drama, Sci-Fi, Thriller"
59831,Contagion,"Action, Drama, Thriller"
59832,Capodanno a New York,"Comedy, Romance"
59833,One for the Money,"Action, Comedy, Crime"
59836,Safe House - Nessuno Ã¨ al sicuro,"Action, Thriller"
59841,Abduction - Riprenditi la tua vita,"Action, Mystery, Thriller"
59842,Chi Ã¨ senza colpa,"Crime, Drama, Thriller"
59845,The Eye of the Storm,Drama
59873,The Grey,"Action, Adventure, Drama"
59874,Albert Nobbs,"Drama, Romance"
59875,2 giorni a New York,"Comedy, Drama, Romance"
59883,Solo Dio perdona,"Action, Crime, Drama"
59885,Amour,"Drama, Romance"
59886,ATM - Trappola mortale,"Horror, Thriller"
59905,Prom - Ballo di fine anno,"Comedy, Drama, Family"
59910,My Uncle Rafael,Comedy
59913,American Pie: Ancora insieme,Comedy
59918,Il monaco,"Drama, Mystery, Thriller"
59921,Midnight in Paris,"Comedy, Fantasy, Romance"
59925,The Last Ride,"Biography, Drama, Music"
59941,Die Hard - Un buon giorno per morire,"Action, Thriller"
59942,Mai wei,"Action, Drama, War"
59944,La memoria del cuore,"Drama, Romance"
59959,Zoolander 2,"Action, Adventure, Comedy"
59977,La formula della felicitÃ ,"Comedy, Drama"
59980,Language of a Broken Heart,"Comedy, Romance"
59994,La leggenda del cacciatore di vampiri,"Action, Fantasy, Horror"
60024,La musica che non ti ho detto,"Drama, Music"
60025,Kon-Tiki,"Adventure, Biography, Drama"
60033,Headhunters,"Action, Crime, Thriller"
60034,Le belve,"Crime, Drama, Thriller"
60037,Margin Call,"Drama, Thriller"
60039,The Foreigner,"Action, Thriller"
60045,Alvin Superstar 3 - Si salvi chi puÃ²!,"Animation, Adventure, Comedy"
60052,J. Edgar,"Biography, Drama, Romance"
60065,Jupiter - Il destino dell'universo,"Action, Adventure, Sci-Fi"
60070,I'm in Love with a Church Girl,"Crime, Drama, Romance"
60072,The Last Witch Hunter - L'ultimo cacciatore di streghe,"Action, Adventure, Fantasy"
60074,Un amore di gioventÃ¹,"Drama, Romance"
60077,Jackie,"Biography, Drama, History"
60091,A Wrinkle in Time,"Adventure, Family, Fantasy"
60095,Bleed - PiÃ¹ forte del destino,"Biography, Drama, Sport"
60096,La famiglia Addams,"Animation, Comedy, Family"
60098,Free Birds - Tacchini in fuga,"Animation, Adventure, Comedy"
60099,Think Like a Man,"Comedy, Romance"
60100,Cesar Chavez,"Biography, Drama"
60110,Couleur de peau: Miel,"Animation, Biography, Drama"
60116,30 Minutes or Less,"Action, Comedy, Crime"
